,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,23,CHI,NFL,WR,16.0,9.0,98.0,61.0,631.0,10.3,4.0,33.0,50.0,53.0,3.8,39.4,62.2,6.4,4.0,20.0,0.0,1.0,50.0,16.0,5.0,1.3,0.3,65.0,10.0,651.0,4.0,1.0,6.0,
1,2021,24,CHI,NFL,WR,17.0,14.0,140.0,81.0,1055.0,13.0,4.0,49.0,45.7,64.0,4.8,62.1,57.9,7.5,6.0,32.0,1.0,2.0,33.3,15.0,5.3,1.9,0.4,87.0,12.5,1087.0,5.0,0.0,9.0,
2,2022,25,CHI,NFL,WR,12.0,12.0,61.0,40.0,493.0,12.3,2.0,20.0,45.9,56.0,3.3,41.1,65.6,8.1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,41.0,12.1,495.0,2.0,0.0,6.0,
3,2023,26,CHI,NFL,WR,15.0,14.0,61.0,31.0,414.0,13.4,1.0,20.0,41.0,41.0,2.1,27.6,50.8,6.8,2.0,5.0,0.0,0.0,0.0,3.0,2.5,0.3,0.1,33.0,12.7,419.0,1.0,0.0,4.0,
4,2024,27,ATL,NFL,WR,16.0,16.0,106.0,64.0,992.0,15.5,5.0,48.0,51.9,49.0,4.0,62.0,60.4,9.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,64.0,15.5,992.0,5.0,0.0,8.0,
5,2025,28,ATL,NFL,WR,2.0,2.0,15.0,6.0,64.0,10.7,0.0,4.0,33.3,21.0,3.0,32.0,40.0,4.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,6.0,10.7,64.0,0.0,0.0,,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,78.0,67.0,481.0,283.0,3649.0,12.9,16.0,174.0,47.0,64.0,3.6,46.8,58.8,7.6,13.0,59.0,1.0,3.0,30.8,16.0,4.5,0.8,0.2,296.0,12.5,3708.0,17.0,1.0,33.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,105.0,62.0,795.0,12.9,3.0,38.0,47.0,64.0,3.6,46.8,58.8,7.6,3.0,13.0,0.0,1.0,30.8,16.0,4.5,0.8,0.2,65.0,12.5,808.0,4.0,0.0,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),,60.0,49.0,360.0,213.0,2593.0,12.2,11.0,122.0,46.1,64.0,3.6,43.2,59.2,7.2,13.0,59.0,1.0,3.0,30.8,16.0,4.5,1.0,0.2,226.0,11.7,2652.0,12.0,1.0,25.0,
10,ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,18.0,18.0,121.0,70.0,1056.0,15.1,5.0,52.0,49.6,49.0,3.9,58.7,57.9,8.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,70.0,15.1,1056.0,5.0,0.0,8.0,
