,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,21,NYG,NFL,RB,16.0,16.0,261.0,1307.0,11.0,50.0,39.8,78.0,5.0,81.7,16.3,121.0,91.0,721.0,7.9,4.0,30.0,38.0,57.0,5.7,45.1,75.2,6.0,352.0,5.8,2028.0,15.0,0.0,14.0,"PB,AP ORoY-1"
1,2019,22,NYG,NFL,RB,13.0,13.0,217.0,1003.0,6.0,45.0,43.3,68.0,4.6,77.2,16.7,73.0,52.0,438.0,8.4,2.0,14.0,34.2,65.0,4.0,33.7,71.2,6.0,269.0,5.4,1441.0,8.0,1.0,9.0,
2,2020,23,NYG,NFL,RB,2.0,2.0,19.0,34.0,0.0,1.0,26.3,18.0,1.8,17.0,9.5,9.0,6.0,60.0,10.0,0.0,3.0,44.4,38.0,3.0,30.0,66.7,6.7,25.0,3.8,94.0,0.0,0.0,1.0,
3,2021,24,NYG,NFL,RB,13.0,13.0,162.0,593.0,2.0,27.0,42.0,41.0,3.7,45.6,12.5,57.0,41.0,263.0,6.4,2.0,13.0,36.8,54.0,3.2,20.2,71.9,4.6,203.0,4.2,856.0,4.0,2.0,5.0,
4,2022,25,NYG,NFL,RB,16.0,16.0,295.0,1312.0,10.0,62.0,47.5,68.0,4.4,82.0,18.4,76.0,57.0,338.0,5.9,0.0,10.0,38.2,41.0,3.6,21.1,75.0,4.4,352.0,4.7,1650.0,10.0,1.0,11.0,"PB,AP CPoY-3"
5,2023,26,NYG,NFL,RB,14.0,14.0,247.0,962.0,6.0,51.0,40.1,36.0,3.9,68.7,17.6,60.0,41.0,280.0,6.8,4.0,16.0,43.3,46.0,2.9,20.0,68.3,4.7,288.0,4.3,1242.0,10.0,2.0,6.0,
6,2024,27,PHI,NFL,RB,16.0,16.0,345.0,2005.0,13.0,82.0,52.5,72.0,5.8,125.3,21.6,43.0,33.0,278.0,8.4,2.0,12.0,44.2,43.0,2.1,17.4,76.7,6.5,378.0,6.0,2283.0,15.0,2.0,18.0,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,90.0,90.0,1546.0,7216.0,48.0,318.0,44.7,78.0,4.7,80.2,17.2,439.0,321.0,2378.0,7.4,14.0,98.0,38.7,65.0,3.6,26.4,73.1,5.4,1867.0,5.1,9594.0,62.0,8.0,64.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,292.0,1363.0,9.0,60.0,44.7,78.0,4.7,80.2,17.2,83.0,61.0,449.0,7.4,3.0,19.0,38.7,65.0,3.6,26.4,73.1,5.4,353.0,1.0,1812.0,12.0,2.0,12.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NYG (6 Yrs),NYG (6 Yrs),NYG (6 Yrs),NYG (6 Yrs),,74.0,74.0,1201.0,5211.0,35.0,236.0,42.5,78.0,4.3,70.4,16.2,396.0,288.0,2100.0,7.3,12.0,86.0,38.1,65.0,3.9,28.4,72.7,5.3,1489.0,4.9,7311.0,47.0,6.0,46.0,
11,PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,16.0,16.0,345.0,2005.0,13.0,82.0,52.5,72.0,5.8,125.3,21.6,43.0,33.0,278.0,8.4,2.0,12.0,44.2,43.0,2.1,17.4,76.7,6.5,378.0,6.0,2283.0,15.0,2.0,18.0,
