,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2013,21,HOU,NFL,WR,16.0,16.0,91.0,52.0,802.0,15.4,2.0,38.0,51.6,66.0,3.3,50.1,57.1,8.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,52.0,15.4,802.0,2.0,1.0,5.0,
1,2014,22,HOU,NFL,WR,16.0,16.0,127.0,76.0,1210.0,15.9,6.0,57.0,53.5,76.0,4.8,75.6,59.8,9.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,76.0,15.9,1210.0,6.0,2.0,10.0,
2,2015,23,HOU,NFL,WR,16.0,16.0,192.0,111.0,1521.0,13.7,11.0,83.0,53.6,61.0,6.9,95.1,57.8,7.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,111.0,13.7,1521.0,11.0,1.0,11.0,"PB,AP-2"
3,2016,24,HOU,NFL,WR,16.0,16.0,151.0,78.0,954.0,12.2,4.0,57.0,47.0,51.0,4.9,59.6,51.7,6.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,78.0,12.2,954.0,4.0,0.0,7.0,
4,2017,25,HOU,NFL,WR,15.0,15.0,174.0,96.0,1378.0,14.4,13.0,69.0,50.6,72.0,6.4,91.9,55.2,7.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,96.0,14.4,1378.0,13.0,1.0,10.0,"PB,AP-1,AP OPoY-4"
5,2018,26,HOU,NFL,WR,16.0,16.0,163.0,115.0,1572.0,13.7,11.0,81.0,61.3,49.0,7.2,98.3,70.6,9.6,1.0,-7.0,0.0,0.0,0.0,-7.0,-7.0,-0.4,0.1,116.0,13.5,1565.0,11.0,2.0,13.0,"PB,AP-1,AP OPoY-3"
6,2019,27,HOU,NFL,WR,15.0,15.0,150.0,104.0,1165.0,11.2,7.0,68.0,58.7,43.0,6.9,77.7,69.3,7.8,2.0,18.0,0.0,2.0,100.0,12.0,9.0,1.2,0.1,106.0,11.2,1183.0,7.0,0.0,11.0,"PB,AP-1"
7,2020,28,ARI,NFL,WR,16.0,16.0,160.0,115.0,1407.0,12.2,6.0,75.0,58.1,60.0,7.2,87.9,71.9,8.8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,116.0,12.1,1408.0,6.0,3.0,12.0,"PB,AP-2"
8,2021,29,ARI,NFL,WR,10.0,10.0,64.0,42.0,572.0,13.6,8.0,32.0,59.4,55.0,4.2,57.2,65.6,8.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,42.0,13.6,572.0,8.0,0.0,6.0,
9,2022,30,ARI,NFL,WR,9.0,9.0,96.0,64.0,717.0,11.2,3.0,35.0,54.2,33.0,7.1,79.7,66.7,7.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,64.0,11.2,717.0,3.0,2.0,6.0,
10,2023,31,TEN,NFL,WR,17.0,16.0,137.0,75.0,1057.0,14.1,7.0,48.0,43.8,61.0,4.4,62.2,54.7,7.7,2.0,9.0,0.0,0.0,100.0,5.0,4.5,0.5,0.1,77.0,13.8,1066.0,7.0,0.0,10.0,
11,2024,32,2TM,NFL,WR,16.0,8.0,80.0,56.0,610.0,10.9,5.0,35.0,60.0,35.0,3.5,38.1,70.0,7.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,56.0,10.9,610.0,5.0,1.0,5.0,
12,2024,32,TEN,NFL,WR,6.0,3.0,21.0,15.0,173.0,11.5,1.0,10.0,66.7,23.0,2.5,28.8,71.4,8.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,15.0,11.5,173.0,1.0,1.0,1.0,
13,2024,32,KAN,NFL,WR,10.0,5.0,59.0,41.0,437.0,10.7,4.0,25.0,57.6,35.0,4.1,43.7,69.5,7.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,41.0,10.7,437.0,4.0,0.0,4.0,
14,12 Yrs,12 Yrs,12 Yrs,12 Yrs,,178.0,169.0,1585.0,984.0,12965.0,13.2,83.0,678.0,54.0,76.0,5.5,72.8,62.1,8.2,6.0,21.0,0.0,2.0,66.7,12.0,3.5,0.1,0.0,990.0,13.1,12986.0,83.0,13.0,106.0,
15,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,151.0,94.0,1238.0,13.2,8.0,65.0,54.0,76.0,5.5,72.8,62.1,8.2,1.0,2.0,0.0,0.0,66.7,12.0,3.5,0.1,0.0,95.0,1.3,1240.0,8.0,1.0,10.0,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HOU (7 Yrs),HOU (7 Yrs),HOU (7 Yrs),HOU (7 Yrs),,110.0,110.0,1048.0,632.0,8602.0,13.6,54.0,453.0,53.9,76.0,5.7,78.2,60.3,8.2,3.0,11.0,0.0,2.0,66.7,12.0,3.7,0.1,0.0,635.0,13.6,8613.0,54.0,7.0,67.0,
18,ARI (3 Yrs),ARI (3 Yrs),ARI (3 Yrs),ARI (3 Yrs),,35.0,35.0,320.0,221.0,2696.0,12.2,17.0,142.0,57.2,60.0,6.3,77.0,69.1,8.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,222.0,12.1,2697.0,17.0,5.0,24.0,
19,TEN (2 Yrs),TEN (2 Yrs),TEN (2 Yrs),TEN (2 Yrs),,23.0,19.0,158.0,90.0,1230.0,13.7,8.0,58.0,46.8,61.0,3.9,53.5,57.0,7.8,2.0,9.0,0.0,0.0,100.0,5.0,4.5,0.4,0.1,92.0,13.5,1239.0,8.0,1.0,11.0,
20,KAN (1 Yr),KAN (1 Yr),KAN (1 Yr),KAN (1 Yr),,10.0,5.0,59.0,41.0,437.0,10.7,4.0,25.0,57.6,35.0,4.1,43.7,69.5,7.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,41.0,10.7,437.0,4.0,0.0,4.0,
