,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Pro_bowl,All_pro
0,1,Saquon Barkley,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,15,3,,322,355.3,362.3,338.8,163,1,1,1,1
1,2,Derrick Henry,BAL,RB,30,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,18,,,317,336.4,343.4,326.9,159,2,2,1,0
2,3,Jahmyr Gibbs,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,20,,,311,362.9,369.9,336.9,153,3,3,1,0
3,4,Lamar Jackson,BAL,QB,27,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,,0,10,5,4,1,,430,430.4,445.4,434.4,140,1,4,1,1
4,5,Ja'Marr Chase,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,,,276,403.0,406.0,339.5,138,1,5,1,1
5,6,Bijan Robinson,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,15,1,,281,341.7,347.7,311.2,124,4,6,1,0
6,7,Josh Jacobs,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.50,1,4,3,16,,,257,293.1,302.1,275.1,102,5,7,1,0
7,8,Josh Allen,BUF,QB,28,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,,1,5,2,13,,1,379,379.0,393.0,385.0,91,2,8,1,0
8,9,Joe Burrow,CIN,QB,28,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,,0,11,5,2,,,373,372.8,392.8,381.8,85,3,9,1,0
9,10,Kyren Williams,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,16,,,238,272.1,281.1,255.1,84,6,10,0,0
10,11,James Cook,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,18,,,235,266.7,272.7,250.7,81,7,11,1,0
11,12,Justin Jefferson,MIN,WR,25,17,17,1,1,22,0,0,1,3,3.00,0,154,103,1533,14.88,10,1,0,10,,,214,317.5,320.5,266.0,80,2,12,1,1
12,13,Baker Mayfield,TAM,QB,29,17,17,407,570,4500,41,16,60,378,6.30,3,0,0,0,,0,13,2,3,,1,366,365.8,389.8,381.8,79,4,13,1,0
13,14,Jonathan Taylor,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,12,,,227,244.7,251.7,235.7,74,8,14,1,0
14,15,George Kittle,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,8,,,159,236.6,239.6,197.6,70,1,15,1,0
15,16,Jayden Daniels,WAS,QB,24,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,,0,5,0,6,1,2,356,355.8,370.8,364.8,69,5,16,1,0
16,17,De'Von Achane,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,12,,,222,299.9,305.9,260.9,69,9,17,0,0
